Kline open time,Open price,High price,Low price,Close price,Volume,Kline close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2025-08-08,3910.3,4071.0,3880.0,4009.5,723300.0109,2025-08-08 23:59:59.999,2868715363.889369,4175115,389637.0166,1545604109.313508,0
2025-08-09,4009.51,4326.2,4006.63,4260.62,691932.1048,2025-08-09 23:59:59.999,2897074775.140159,3932997,354396.8092,1482946335.172858,0
2025-08-10,4260.63,4332.6,4153.07,4250.57,494843.8105,2025-08-10 23:59:59.999,2091948332.589114,3319102,235841.2963,997589724.686655,0
2025-08-11,4250.58,4366.46,4166.77,4223.22,722664.04,2025-08-11 23:59:59.999,3089081112.554874,5162548,360218.2954,1540350244.420612,0
2025-08-12,4223.22,4639.7,4219.04,4590.52,885288.0652,2025-08-12 23:59:59.999,3918279210.053929,5104868,460721.2581,2038703612.778519,0
2025-08-13,4590.52,4783.85,4564.33,4749.3,925931.4988,2025-08-13 23:59:59.999,4334944436.910635,5293034,476639.1946,2232173733.897734,0
2025-08-14,4749.31,4788.0,4451.33,4546.84,1265449.0453,2025-08-14 23:59:59.999,5853669749.165808,6488264,610793.1493,2824145240.890796,0
2025-08-15,4546.84,4672.67,4368.0,4439.47,880409.2591,2025-08-15 23:59:59.999,3978902618.058779,5091385,431967.5378,1953497546.872039,0
2025-08-16,4439.47,4490.42,4372.54,4421.99,358676.5884,2025-08-16 23:59:59.999,1587545552.644884,2446573,172182.4814,762345533.806514,0
2025-08-17,4422.0,4576.0,4393.98,4472.33,442461.3829,2025-08-17 23:59:59.999,1990037593.51367,2844829,216791.6846,975401417.633454,0
2025-08-18,4472.34,4481.88,4225.86,4312.99,823188.1269,2025-08-18 23:59:59.999,3561988639.06488,4938429,406762.5481,1759665776.660579,0
2025-08-19,4312.99,4355.0,4067.34,4075.59,831222.7951,2025-08-19 23:59:59.999,3499853674.637695,4828050,398237.7389,1679727808.428403,0
2025-08-20,4075.58,4378.0,4060.0,4336.16,728324.8933,2025-08-20 23:59:59.999,3077553918.18234,4768196,377599.4336,1596144868.677022,0
2025-08-21,4336.16,4340.26,4204.2,4225.3,433836.3992,2025-08-21 23:59:59.999,1854414176.529447,4202357,215637.3352,922109670.926336,0
