Date,BTC close,ETH close
2025-08-08,116674.74,4009.5
2025-08-09,116462.25,4260.62
2025-08-10,119294.01,4250.57
2025-08-11,118686.0,4223.22
2025-08-12,120134.08,4590.52
2025-08-13,123306.43,4749.3
2025-08-14,118295.09,4546.84
2025-08-15,117342.05,4439.47
2025-08-16,117380.66,4421.99
2025-08-17,117405.01,4472.33
2025-08-18,116227.05,4312.99
2025-08-19,112872.94,4075.59
2025-08-20,114271.24,4336.16
2025-08-21,112500.0,4225.3
2025-08-22,116935.99,4832.07
2025-08-23,115438.05,4778.4
2025-08-24,113493.59,4780.15
2025-08-25,110111.98,4376.18
2025-08-26,111763.22,4600.63
2025-08-27,111262.01,4506.71
2025-08-28,112566.9,4511.21
2025-08-29,108377.4,4360.18
2025-08-30,108816.33,4373.7
2025-08-31,108246.35,4391.83
2025-09-01,109237.42,4314.5
2025-09-02,111240.01,4326.5
2025-09-03,111705.71,4450.46
2025-09-04,110730.87,4297.55
2025-09-05,110659.99,4307.45
2025-09-06,110187.97,4273.14
2025-09-07,111137.34,4306.19
2025-09-08,112065.23,4306.37
2025-09-09,111546.39,4310.09
2025-09-10,113960.0,4349.32
2025-09-11,115482.69,4458.82
2025-09-12,116029.42,4712.16
2025-09-13,115918.29,4666.53
2025-09-14,115268.01,4604.49
2025-09-15,115349.71,4523.74
2025-09-16,116788.96,4501.29
2025-09-17,116447.59,4590.53
2025-09-18,117073.53,4587.66
2025-09-19,115632.38,4468.59
2025-09-20,115685.63,4480.42
2025-09-21,115232.29,4444.97
2025-09-22,112650.99,4199.08
2025-09-23,111998.8,4164.26
2025-09-24,113307.0,4152.81
2025-09-25,108994.49,3874.36
2025-09-26,109643.46,4032.24
2025-09-27,109635.85,4018.38
2025-09-28,112163.95,4142.16
2025-09-29,114311.96,4215.07
2025-09-30,114048.93,4145.15
2025-10-01,118594.99,4348.03
2025-10-02,120529.35,4484.35
2025-10-03,122232.0,4512.87
2025-10-04,122391.0,4487.15
2025-10-05,123482.31,4514.32
2025-10-06,124658.54,4684.01
2025-10-07,121332.95,4447.7
2025-10-08,123306.0,4525.72
2025-10-09,121662.4,4368.09
2025-10-10,112774.5,3829.72
2025-10-11,110644.4,3746.79
2025-10-12,114958.8,4152.29
2025-10-13,115166.0,4240.85
2025-10-14,113028.14,4125.02
2025-10-15,110763.28,3985.61
2025-10-16,108194.28,3894.51
2025-10-17,106431.68,3831.57
2025-10-18,107185.01,3889.21
2025-10-19,108642.78,3982.58
2025-10-20,110532.09,3979.22
2025-10-21,108297.67,3873.05
2025-10-22,107567.44,3805.53
2025-10-23,110078.18,3856.8
2025-10-24,111004.89,3934.88
2025-10-25,111646.27,3953.82
2025-10-26,114559.4,4158.46
2025-10-27,114107.65,4120.15
2025-10-28,112898.45,3979.2
2025-10-29,110021.29,3902.99
2025-10-30,108322.88,3805.09
2025-10-31,109608.01,3847.99
2025-11-01,110098.1,3873.77
2025-11-02,110540.68,3906.58
2025-11-03,106583.04,3603.83
2025-11-04,101497.22,3287.05
2025-11-05,103885.16,3424.29
2025-11-06,101346.04,3315.14
2025-11-07,103339.08,3436.05
2025-11-08,102312.94,3401.51
2025-11-09,104722.96,3583.46
2025-11-10,106011.13,3567.85
2025-11-11,103058.99,3417.76
2025-11-12,101654.37,3414.92
2025-11-13,99692.02,3231.54
2025-11-14,94594.0,3112.4
2025-11-15,95766.47,3166.28
